year,month,rank_Fq_12,nstocks,ret_vw
1985,1,1,39,16.9407
1985,1,2,64,11.2566
1985,1,3,115,12.3435
1985,1,4,117,6.1930
1985,1,5,103,10.3338
1985,1,6,63,10.4474
1985,1,7,30,6.0558
1985,2,1,75,-0.5258
1985,2,2,124,3.3406
1985,2,3,203,-0.2334
1985,2,4,224,1.9156
1985,2,5,191,3.3555
1985,2,6,122,-1.8943
1985,2,7,42,4.5957
1985,3,1,91,-7.1066
1985,3,2,152,0.5043
1985,3,3,236,-5.8185
1985,3,4,260,-3.0044
1985,3,5,219,0.0643
1985,3,6,152,-5.6192
1985,3,7,50,0.0117
1985,4,1,102,-5.0685
1985,4,2,169,-5.0691
1985,4,3,266,-5.6626
1985,4,4,294,-3.4558
1985,4,5,245,-1.2880
1985,4,6,174,-3.4970
1985,4,7,60,-4.0402
1985,5,1,249,2.0192
1985,5,2,404,4.9200
1985,5,3,652,5.4789
1985,5,4,676,4.7501
1985,5,5,598,4.8889
1985,5,6,412,3.9291
1985,5,7,180,7.0385
1985,6,1,277,0.2046
1985,6,2,439,1.6219
1985,6,3,717,2.3892
1985,6,4,744,1.7604
1985,6,5,652,1.2629
1985,6,6,447,1.0074
1985,6,7,190,2.2154
1985,7,1,286,1.5609
1985,7,2,460,-0.0792
1985,7,3,737,-0.6841
1985,7,4,782,2.0488
1985,7,5,675,2.4362
1985,7,6,469,0.7835
1985,7,7,198,1.0794
1985,8,1,405,0.7307
1985,8,2,694,1.1235
1985,8,3,1094,-1.0492
1985,8,4,1181,-0.6310
1985,8,5,974,-0.7473
1985,8,6,643,-1.0031
1985,8,7,251,-1.6931
1985,9,1,431,-6.0799
1985,9,2,739,-5.5253
1985,9,3,1171,-4.5289
1985,9,4,1240,-3.3609
1985,9,5,1030,-3.8238
1985,9,6,683,-4.4132
1985,9,7,266,-4.3163
1985,10,1,455,4.8290
1985,10,2,772,2.2455
1985,10,3,1238,6.5387
1985,10,4,1292,4.4148
1985,10,5,1081,3.6700
1985,10,6,708,4.6401
1985,10,7,276,0.9404
1985,11,1,568,6.5644
1985,11,2,962,6.2681
1985,11,3,1516,6.8849
