year,month,rank_GPA,nstocks,ret_vw
1967,1,1,110,5.8675
1967,1,2,108,3.4163
1967,1,3,110,7.5625
1967,1,4,120,6.0756
1967,1,5,115,10.7160
1967,1,6,128,11.5721
1967,1,7,126,11.6542
1967,1,8,127,8.2722
1967,1,9,140,9.7007
1967,1,10,126,7.0495
1967,2,1,109,-1.2268
1967,2,2,108,-0.9709
1967,2,3,110,-0.0707
1967,2,4,120,-0.2926
1967,2,5,115,-0.3624
1967,2,6,128,1.0479
1967,2,7,126,0.4708
1967,2,8,127,1.4307
1967,2,9,140,3.1370
1967,2,10,126,5.4242
1967,3,1,110,2.3053
1967,3,2,108,2.3455
1967,3,3,110,3.8690
1967,3,4,120,5.5916
1967,3,5,115,5.9040
1967,3,6,128,3.7352
1967,3,7,126,4.2780
1967,3,8,127,3.8614
1967,3,9,140,5.4159
1967,3,10,126,5.8225
1967,4,1,110,1.8328
1967,4,2,108,3.1107
1967,4,3,110,0.5984
1967,4,4,120,3.2120
1967,4,5,115,4.9125
1967,4,6,128,3.1424
1967,4,7,126,8.7291
1967,4,8,127,6.4532
1967,4,9,140,3.8879
1967,4,10,126,7.5162
1967,5,1,110,-3.5334
1967,5,2,108,-4.8214
1967,5,3,110,-4.0686
1967,5,4,120,-2.9925
1967,5,5,115,-4.2274
1967,5,6,128,-3.4224
1967,5,7,126,-6.3815
1967,5,8,127,-6.4181
1967,5,9,140,-2.9605
1967,5,10,126,-3.7171
1967,6,1,110,0.2568
1967,6,2,108,-0.4688
1967,6,3,110,2.2610
1967,6,4,119,2.5911
1967,6,5,115,2.2762
1967,6,6,128,3.3006
1967,6,7,126,0.6570
1967,6,8,127,1.5476
1967,6,9,140,2.3870
1967,6,10,126,5.7100
1967,7,1,129,2.3539
1967,7,2,122,4.0505
1967,7,3,129,1.2940
1967,7,4,145,6.1018
1967,7,5,148,7.8976
1967,7,6,149,8.0967
1967,7,7,146,8.7682
1967,7,8,156,3.6732
1967,7,9,164,3.5443
1967,7,10,160,4.3170
1967,8,1,129,-1.1541
1967,8,2,122,-0.6303
1967,8,3,129,-0.6205
1967,8,4,145,-0.0313
1967,8,5,148,-1.7051
1967,8,6,149,-1.3699
1967,8,7,146,-0.2885
1967,8,8,155,-0.7479
1967,8,9,164,-0.4598
1967,8,10,160,-0.2992
1967,9,1,128,-0.2290
1967,9,2,122,0.6908
1967,9,3,129,2.7169
1967,9,4,145,3.8456
1967,9,5,148,2.2418
1967,9,6,149,4.4368
1967,9,7,146,5.3947
1967,9,8,155,4.1119
1967,9,9,164,5.9488
1967,9,10,159,2.6696
1967,10,1,129,-4.1690
1967,10,2,122,-5.6010
1967,10,3,128,-3.2987
1967,10,4,144,-2.0533
1967,10,5,148,-4.9896
1967,10,6,149,-3.8820
1967,10,7,146,-4.5077
1967,10,8,155,-2.5472
1967,10,9,164,2.8433
1967,10,10,160,-0.7404
1967,11,1,128,2.9130
1967,11,2,122,1.9123
1967,11,3,129,0.2776
1967,11,4,144,0.1769
1967,11,5,148,0.1138
1967,11,6,149,-1.0072
1967,11,7,146,-1.9866
1967,11,8,155,2.5704
1967,11,9,164,1.4685
1967,11,10,160,2.0212
1967,12,1,128,2.8129
1967,12,2,122,4.3248
1967,12,3,128,2.9924
1967,12,4,143,2.9864
1967,12,5,148,3.7801
1967,12,6,149,4.3804
1967,12,7,146,1.2288
1967,12,8,155,1.6365
1967,12,9,164,2.9727
1967,12,10,160,3.2490
1968,1,1,128,-0.9016
1968,1,2,122,-1.1501
1968,1,3,128,-1.8924
1968,1,4,144,-2.8711
1968,1,5,148,-2.7498
1968,1,6,148,-4.2166
1968,1,7,146,-6.6121
1968,1,8,155,-5.3431
1968,1,9,164,-5.8932
1968,1,10,160,-7.1188
1968,2,1,128,-1.8941
1968,2,2,121,-3.2415
1968,2,3,128,-2.7707
1968,2,4,144,-4.0429
1968,2,5,148,-4.3046
1968,2,6,147,-3.7693
1968,2,7,144,-3.1313
1968,2,8,155,-2.9504
1968,2,9,164,-3.2840
1968,2,10,159,-2.4313
1968,3,1,128,-3.4424
1968,3,2,121,-2.1466
1968,3,3,128,-1.3026
1968,3,4,144,2.0952
1968,3,5,148,0.0081
1968,3,6,147,-0.4084
1968,3,7,145,-0.1570
1968,3,8,155,3.0036
1968,3,9,164,3.1938
1968,3,10,159,2.9391
1968,4,1,128,5.1852
1968,4,2,121,6.3616
1968,4,3,128,4.7653
1968,4,4,144,7.4282
1968,4,5,148,9.5717
1968,4,6,146,9.7061
1968,4,7,145,12.3536
1968,4,8,155,11.6687
1968,4,9,164,12.1488
1968,4,10,159,11.7610
1968,5,1,128,0.9551
1968,5,2,120,1.4102
1968,5,3,128,1.7282
1968,5,4,144,0.7382
1968,5,5,148,1.5059
1968,5,6,146,1.7394
1968,5,7,145,-1.4504
1968,5,8,155,4.1875
1968,5,9,164,5.2241
1968,5,10,159,4.0179
1968,6,1,128,5.8260
1968,6,2,120,6.4137
1968,6,3,128,1.5066
1968,6,4,144,1.3059
1968,6,5,148,0.3824
1968,6,6,146,1.3564
1968,6,7,145,-1.8674
1968,6,8,154,-0.5796
1968,6,9,164,-1.1112
1968,6,10,159,0.4281
1968,7,1,130,-1.7958
1968,7,2,125,-1.8326
1968,7,3,137,0.6042
1968,7,4,155,2.9047
1968,7,5,160,-0.3949
1968,7,6,154,-2.9604
1968,7,7,149,-4.7012
1968,7,8,171,-5.2327
1968,7,9,187,-4.7572
1968,7,10,161,-4.5766
