year,month,rank_IA,nstocks,ret_vw
1967,1,1,138,10.6900
1967,1,2,94,8.3207
1967,1,3,98,4.9822
1967,1,4,101,5.4646
1967,1,5,104,7.6447
1967,1,6,96,7.6995
1967,1,7,107,8.6786
1967,1,8,107,10.0205
1967,1,9,113,11.1337
1967,1,10,128,9.9432
1967,2,1,138,3.4083
1967,2,2,94,-1.3632
1967,2,3,98,-1.5692
1967,2,4,101,-0.0063
1967,2,5,104,-0.3641
1967,2,6,96,-0.2600
1967,2,7,107,3.1107
1967,2,8,107,1.4295
1967,2,9,112,1.8776
1967,2,10,128,3.0091
1967,3,1,138,4.0387
1967,3,2,94,2.9138
1967,3,3,98,4.9899
1967,3,4,101,2.5686
1967,3,5,104,3.1136
1967,3,6,96,4.9659
1967,3,7,107,4.1026
1967,3,8,107,7.0943
1967,3,9,113,5.2219
1967,3,10,128,5.7800
1967,4,1,138,1.8966
1967,4,2,94,2.3117
1967,4,3,98,0.7366
1967,4,4,101,1.4183
1967,4,5,104,4.4689
1967,4,6,96,1.2427
1967,4,7,107,7.4947
1967,4,8,107,7.1440
1967,4,9,113,5.7456
1967,4,10,128,7.2790
1967,5,1,138,-0.4860
1967,5,2,94,-3.3013
1967,5,3,98,-2.1321
1967,5,4,101,-5.8158
1967,5,5,104,-3.0702
1967,5,6,96,-4.6675
1967,5,7,107,-5.5003
1967,5,8,107,-5.1522
1967,5,9,113,-2.5402
1967,5,10,128,-5.6513
1967,6,1,138,3.5224
1967,6,2,94,1.4262
1967,6,3,98,1.5101
1967,6,4,101,2.2725
1967,6,5,104,1.1781
1967,6,6,96,1.0282
1967,6,7,107,1.8296
1967,6,8,107,2.7810
1967,6,9,113,3.8376
1967,6,10,127,3.9732
1967,7,1,158,7.7789
1967,7,2,115,7.8933
1967,7,3,107,5.1638
1967,7,4,113,-2.0111
1967,7,5,107,5.9934
1967,7,6,104,8.9362
1967,7,7,118,4.3838
1967,7,8,111,3.8018
1967,7,9,121,4.2415
1967,7,10,148,4.5398
1967,8,1,158,-0.0167
1967,8,2,115,-0.2716
1967,8,3,107,-1.0473
1967,8,4,113,-0.8679
1967,8,5,106,-1.7533
1967,8,6,104,-0.0033
1967,8,7,118,0.0381
1967,8,8,111,-0.7575
1967,8,9,121,-0.6143
1967,8,10,148,-1.9442
1967,9,1,158,1.8418
1967,9,2,115,3.5362
1967,9,3,107,2.9751
1967,9,4,113,1.9845
1967,9,5,106,1.6338
1967,9,6,104,2.6863
1967,9,7,118,4.9346
1967,9,8,111,3.7744
1967,9,9,121,6.0248
1967,9,10,148,2.8020
1967,10,1,157,-5.3437
1967,10,2,114,-5.2951
1967,10,3,107,-4.4422
1967,10,4,114,-3.0047
1967,10,5,106,-4.2991
1967,10,6,104,-2.7866
1967,10,7,118,-2.6470
1967,10,8,111,-3.3668
1967,10,9,121,2.0205
1967,10,10,148,0.8686
1967,11,1,157,-0.4334
1967,11,2,115,-1.2811
1967,11,3,107,0.2020
1967,11,4,113,0.8730
1967,11,5,106,2.0425
1967,11,6,104,0.5902
1967,11,7,118,0.1830
1967,11,8,111,0.4912
1967,11,9,121,2.3449
1967,11,10,148,1.9884
1967,12,1,156,3.5407
1967,12,2,115,3.3203
1967,12,3,107,3.7349
1967,12,4,113,2.6251
1967,12,5,106,2.6319
1967,12,6,104,1.5169
1967,12,7,118,3.3553
1967,12,8,111,3.0897
1967,12,9,120,2.8303
1967,12,10,148,2.9892
1968,1,1,157,2.5696
1968,1,2,115,-3.1135
1968,1,3,107,0.1170
1968,1,4,113,0.2954
